"R0000100","R0002200","R0002300","R0543940","R0547525","R0547530","R0548100","R0549500","R0549800","R0552300","R0552400","R0554900","R0590520"
1,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,19,2,7,1,0,1,0,-4,239,973,1,500
3,17,1,12,2,0,4,0,-4,838,814,-4,-4
4,24,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,17,1,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,24,1,12,2,0,1,0,-4,396,253,0,800
7,16,1,12,2,0,4,0,-4,316,650,-4,563
8,23,1,18,2,0,1,0,-4,876,183,1,739
9,19,1,14,2,0,1,0,-4,359,84,0,789
10,18,1,12,2,0,4,0,-4,196,411,0,538
11,19,1,12,2,0,1,0,-4,276,985,0,600
12,18,1,9,1,0,1,0,-4,387,775,-4,325
13,16,1,12,1,0,1,0,-4,868,832,0,425
14,14,1,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
15,20,1,11,1,0,1,0,-4,578,985,1,497
16,21,2,16,2,0,1,0,-4,618,394,0,1038
17,14,1,14,2,0,1,0,-4,16,901,0,-4
18,24,1,11,2,0,1,0,-4,196,290,-4,-4
19,24,1,12,2,0,5,0,-4,936,850,0,375
20,19,1,14,2,0,1,0,-4,926,72,1,784
21,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
22,16,1,10,2,0,6,0,-4,196,405,1,625
23,22,1,-4,2,0,6,0,-4,258,775,-4,490
24,17,1,10,2,0,1,0,-4,136,685,1,824
25,22,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
26,22,1,18,1,1,1,0,-4,916,270,0,1269
27,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
28,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
29,24,1,18,2,0,1,0,-4,876,183,1,936
30,22,1,15,3,0,1,0,-4,649,0,0,847
31,18,1,12,1,0,5,0,-4,617,715,-4,380
32,22,1,12,1,0,1,0,-4,268,695,0,866
33,22,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
34,15,1,14,2,0,6,0,-4,507,842,-4,-4
35,24,1,18,3,0,1,0,-4,259,195,0,719
36,16,1,12,2,0,6,0,-4,296,775,0,265
37,22,1,18,-5,-5,-5,-5,-5,-5,-5,-5,-5
38,15,1,12,2,0,1,0,-4,689,473,0,425
39,19,1,14,3,0,1,0,-4,567,0,1,724
40,16,1,15,3,0,6,0,-4,196,411,0,700
41,15,1,-4,3,0,1,0,-4,196,630,-4,350
42,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
43,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
44,21,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
45,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,17,1,-5,1,0,2,0,-4,666,714,0,375
47,15,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
48,15,2,12,1,0,6,1,-4,936,171,-4,486
49,19,2,12,1,0,1,0,-4,626,715,1,409
50,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
51,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,14,1,16,2,0,1,0,-4,407,0,0,-4
54,24,1,18,1,0,2,0,-4,876,183,1,1099
55,18,1,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
58,23,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
59,24,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
60,19,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
61,20,2,7,1,0,1,0,-4,659,835,1,281
62,20,1,16,2,0,1,0,-4,536,75,1,1325
63,21,1,10,1,0,1,0,-4,196,545,1,963
64,24,1,18,2,0,1,1,-4,916,83,0,1331
65,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
67,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
68,22,3,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
69,17,2,13,1,0,6,0,-4,867,810,-4,265
70,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
71,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
72,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
73,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
74,20,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
76,18,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
77,17,3,6,1,0,5,0,-4,638,430,0,468
78,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
79,14,2,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
80,24,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
81,16,1,9,1,0,4,0,-4,398,370,1,490
82,22,1,15,1,0,1,0,-4,518,354,0,881
83,24,1,11,2,0,1,0,-4,196,514,0,577
84,21,2,-5,1,0,6,0,-4,349,775,0,375
85,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
86,19,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
87,14,2,12,1,0,5,0,-4,846,120,1,420
88,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
89,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
90,14,1,16,2,1,6,0,-4,868,290,0,558
91,14,1,12,1,0,1,0,-4,656,290,0,1010
92,15,1,13,1,0,1,0,14,936,850,1,778
93,18,1,17,2,0,1,0,-4,706,290,0,673
94,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
95,16,1,-5,3,0,1,1,-4,308,985,-4,500
96,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
97,15,1,12,1,0,1,0,-4,609,290,-4,-4
98,16,2,12,2,0,6,0,-4,567,520,1,800
99,14,2,14,1,0,1,0,-4,846,120,-4,-4
100,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
101,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
102,21,2,11,3,1,1,0,-4,16,902,0,243
103,19,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
104,16,2,13,1,0,6,0,-4,508,290,-4,300
105,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
106,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
107,14,1,10,1,0,1,1,-4,267,480,1,604
108,17,1,12,1,0,1,0,-4,398,512,0,872
109,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
110,17,1,12,2,0,1,0,-4,638,480,0,721
111,14,1,12,2,0,1,0,-4,636,250,1,750
112,20,1,16,-5,-5,-5,-5,-5,-5,-5,-5,-5
113,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,17,1,14,2,0,1,0,-4,196,411,1,1070
115,22,1,16,2,0,1,0,-4,716,195,0,1173
116,22,1,13,1,0,1,1,-4,259,0,0,938
117,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
